flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
80234247,0,0,0,0,3,0
92556281,0,0,0,0,4,0
90316567,0,0,0,0,4,0
125411,6,53183,443,1,2,0
110293686,0,0,0,0,5,0
90003725,0,0,0,0,3,0
101992609,0,0,0,0,5,0
110392998,0,0,0,0,5,0
104561842,0,0,0,0,4,0
3787580,17,65207,53,380,6,0
73779726,17,49271,53,863,12,0
105274646,0,0,0,0,8,0
103423851,17,5353,5353,5856,33,0
30162289,0,0,0,0,2,0
93,0,0,0,0,2,0
117150332,0,0,0,0,40,0
80216330,0,0,0,0,3,0
90585956,0,0,0,0,4,0
90663490,0,0,0,0,4,0
4344604,0,0,0,0,6,0
4502435,0,0,0,0,3,0
587562,0,0,0,0,5,0
92136997,0,0,0,0,4,0
92021638,0,0,0,0,4,0
89959648,0,0,0,0,3,0
80230872,0,0,0,0,3,0
90268475,0,0,0,0,3,0
106924,17,55307,53,120,2,0
100657237,0,0,0,0,5,0
90431344,0,0,0,0,5,0
65848459,6,53786,443,0,4,0
294317,0,0,0,0,3,0
110321373,0,0,0,0,5,0
90032908,0,0,0,0,3,0
102194667,0,0,0,0,5,0
93102751,0,0,0,0,3,0
1557203,0,0,0,0,2,0
110400084,0,0,0,0,6,0
60403055,6,53183,443,53,5,0
117349068,0,0,0,0,40,0
80249832,0,0,0,0,3,0
90621339,0,0,0,0,4,0
90652875,0,0,0,0,4,0
505524,0,0,0,0,3,0
294377,0,0,0,0,3,0
244916,0,0,0,0,4,0
86043575,17,65207,53,640,8,0
86064070,17,49271,53,822,10,0
92120590,0,0,0,0,4,0
92170601,0,0,0,0,4,0
80249302,0,0,0,0,3,0
90265840,0,0,0,0,4,0
90135550,0,0,0,0,3,0
114,0,0,0,0,2,0
90339962,0,0,0,0,3,0
46698,0,0,0,0,2,0
76010,17,64253,53,163,2,0
405644,0,0,0,0,4,0
1058781,0,0,0,0,6,0
23966489,0,0,0,0,4,0
215355,0,0,0,0,4,0
564338,0,0,0,0,5,0
101940242,0,0,0,0,3,0
79333,17,59296,53,118,2,0
110416849,0,0,0,0,5,0
102105572,0,0,0,0,5,0
467823,0,0,0,0,5,0
96978113,0,0,0,0,557,0
90018267,0,0,0,0,3,0
36045465,17,49665,53,213,4,0
98458,17,64863,53,152,2,0
105374,17,56361,53,92,2,0
90264458,0,0,0,0,3,0
5562244,6,54101,443,0,4,0
5582600,6,54102,443,0,4,0
10765928,6,54032,443,0,4,0
10745289,6,54042,443,0,4,0
10802523,6,54038,443,0,4,0
10796310,6,54040,443,0,4,0
10722515,6,54045,443,0,4,0
10747737,6,54056,443,0,4,0
10747707,6,54058,443,0,4,0
10723520,6,54062,443,0,4,0
10792554,6,54061,443,0,4,0
10253025,6,54071,443,0,4,0
118822744,0,0,0,0,4,0
10381597,6,54097,443,0,4,0
10381826,6,54093,443,0,4,0
10170563,6,54110,443,0,4,0
10387952,6,54107,443,0,4,0
70455,6,53183,443,1,2,0
10411230,6,54121,443,0,4,0
10806114,6,54139,443,0,4,0
10387581,6,54163,443,0,4,0
51620,6,54139,443,0,2,0
10388141,6,54161,443,0,4,0
10387298,6,54164,443,0,4,0
10432193,6,54158,443,0,4,0
10881048,6,54156,443,0,4,0
117156546,0,0,0,0,40,0
110396537,0,0,0,0,5,0
80158476,0,0,0,0,3,0
10550725,6,54256,443,0,6,0
10345904,6,54258,443,0,4,0
90759636,0,0,0,0,4,0
90935078,0,0,0,0,4,0
42525,17,60250,53,100,2,0
80221881,6,53810,443,9111,21,0
108641,6,53810,443,24,4,0
94559462,0,0,0,0,10,0
92122843,0,0,0,0,5,0
92081862,0,0,0,0,4,0
80178200,0,0,0,0,3,0
61513580,6,54177,443,0,5,0
64381220,6,54175,443,0,8,0
90625636,0,0,0,0,5,0
856,17,5353,5353,156,2,0
82048275,6,54073,443,0,4,0
90035163,0,0,0,0,3,0
61129415,6,54279,443,9616,24,0
100507016,6,54190,443,0,4,0
100774126,6,54193,443,0,4,0
24,1,0,0,2254,23,0
24,1,0,0,2254,23,0
24,1,0,0,2254,23,0
24,1,0,0,2254,23,0
24,1,0,0,2254,23,0
24,1,0,0,2254,23,0
54,1,0,0,5194,53,0
54,1,0,0,5194,53,0
54,1,0,0,5194,53,0
54,1,0,0,5194,53,0
54,1,0,0,5194,53,0
54,1,0,0,5194,53,0
84,1,0,0,8036,82,0
84,1,0,0,8036,82,0
84,1,0,0,8036,82,0
84,1,0,0,8036,82,0
84,1,0,0,8036,82,0
84,1,0,0,8036,82,0
114,1,0,0,10878,111,0
114,1,0,0,10878,111,0
114,1,0,0,10878,111,0
114,1,0,0,10878,111,0
114,1,0,0,10878,111,0
114,1,0,0,10878,111,0
144,1,0,0,13720,140,0
